node_id,x,y,z,module,root_id
1,376168,214326,76240,3,720575940602120928
2,558260,333872,193800,46,720575940602313952
3,386386,292214,121260,21,720575940602380768
4,618936,262556,95280,11,720575940602415584
5,637136,171048,143760,14,720575940602553568
6,636140,167836,143760,14,720575940602564320
7,630860,177380,143760,14,720575940602605536
8,608016,239364,186040,11,720575940602618848
9,421880,264572,70480,21,720575940602718432
10,501172,154908,178760,6,720575940602747360
11,452578,186230,76200,19,720575940602783968
12,483234,188204,194160,6,720575940602800608
13,467572,114936,184100,13,720575940602815200
14,423872,128288,212160,13,720575940602829536
15,580618,171728,180960,6,720575940602831328
16,312448,154656,145160,12,720575940602849248
17,687428,293940,76760,21,720575940602879404
18,655084,287352,103940,21,720575940602891232
19,722984,168142,120700,21,720575940602914988
20,483276,207408,225240,19,720575940602917088
21,487372,159760,179480,6,720575940602920364
22,611096,170692,83440,1,720575940602964140
23,369088,143360,205520,3,720575940602974688
24,728544,222272,84560,8,720575940602977248
25,667504,303164,72440,5,720575940603012832
26,452932,230344,203160,11,720575940603032748
27,631024,181944,143760,14,720575940603045804
28,574272,121600,164760,6,720575940603048108
29,627648,175244,143760,14,720575940603050668
30,676580,124512,157000,8,720575940603082720
31,633276,178280,143760,14,720575940603084972
32,426518,190616,74660,40,720575940603094700
33,633732,167732,143760,14,720575940603111392
34,649892,160260,182320,10,720575940603117996
35,569064,158448,172880,20,720575940603121888
36,390850,210910,202800,3,720575940603123936
37,396608,253408,66360,2,720575940603125216
38,376806,200356,191220,24,720575940603152998
39,318888,148888,155160,3,720575940603167916
40,624060,169496,143760,14,720575940603174368
41,347126,254464,103600,21,720575940603186790
42,420508,255918,66300,11,720575940603195494
43,353184,149568,210360,25,720575940603197408
44,591616,194436,168800,9,720575940603201452
45,425417,222890,52020,13,720575940603231916
46,401088,175232,85840,4,720575940603233248
47,436164,293406,91840,9,720575940603235500
48,481084,188168,195060,6,720575940603238828
49,620116,203332,204440,23,720575940603240876
50,491768,148776,160880,9,720575940603250860
51,469250,117338,186440,13,720575940603268064
52,639272,194236,29000,5,720575940603274272
53,348336,191908,164840,4,720575940603279648
54,447360,129568,210760,13,720575940603317216
55,679424,188688,201760,2,720575940603331686
56,483168,281920,49680,1,720575940603352748
57,503808,123456,174760,37,720575940603409632
58,518684,306036,185760,1,720575940603441632
59,615670,271080,73880,14,720575940603446374
60,547026,222370,58160,28,720575940603453286
61,599736,278414,55080,28,720575940603455846
62,580372,230244,40860,14,720575940603464672
63,679680,163824,181440,8,720575940603492012
64,452496,263644,122760,11,720575940603507302
65,337792,162304,147880,29,720575940603507372
66,450208,304832,58360,20,720575940603514141
67,463150,116692,179000,13,720575940603520172
68,534496,356104,188200,21,720575940603533246
69,384992,237952,60960,5,720575940603548640
70,523136,128512,144320,11,720575940603549152
